Singular,Plural,English
das Adjektiv,die Adjektive,adjective
das Alter,,age
der Aufsatz,die Aufsätze,essay
das Buch,die Bücher,book
der Charakter,die Charaktere,personality/character
die Eigenschaft,die Eigenschaften,quality/characteristic
das Ergebnis,die Ergebnisse,result
die Familie,die Familien,family
die Familienstruktur,die Familienstrukturen,family structure
die Frage,die Fragen,question
der Gegenstand,die Gegenstände,object
die Herkunft,die Herkünfte,heritage
,die Informationen,information
der Kommilitone,die Kommilitonen,classmate (male)
die Kommilitonin,die Kommilitoninnen,classmate (female)
das Land,die Länder,country/land
der Name,die Namen,the name
das Nomen,die Nomen,noun
der Ort,die Orte,place
das Rollenspiel,die Rollenspiele,role play
die Sprache,die Sprachen,language
die Statistik,die Statistiken,statistic
der Stift,die Stifte,writing utensil
die Stimmung,die Stimmungen,mood/disposition
die Strategie,die Strategien,strategy
der Text,die Texte,text
die Umfrage,die Umfragen,survey
die Veränderung,die Veränderungen,change
das Verb,die Verben|verb
die Welt,die Welten,world
der Wohnort,die Wohnorte,residence
die Zahl,die Zahlen,digit/number