Präfix,Trennbaren,Untrennbaren,Effect
be,,Yes,transitive verb creator
emp,,Yes,sense;receive
ent,,Yes,separation;away (de-/dis-)
er,,Yes,fatal;dead
ge,,Yes,completed action
miss,,Yes,ill;mistaken (mis-)
ver,,Yes,bad;awry (mis-)
zer,,Yes,apart;collapse;shatter;shred
ab,Yes,,
an,Yes,,
auf,Yes,,
aus,Yes,,
auseinander,Yes,,
bei,Yes,,
dar,Yes,,
durch,Yes,Yes,
ein,Yes,,
entgegen,Yes,,
entlang,Yes,,
fehl,Yes,,
fest,Yes,,
her,Yes,,
herein,Yes,,
hin,Yes,,
hinter,Yes,Yes,
hoch,Yes,,
kennen,Yes,,
los,Yes,,
mit,Yes,,
nach,Yes,,
über,Yes,Yes,
um,Yes,Yes,
unter,Yes,Yes,
vor,Yes,,
vorbei,Yes,,
weg,Yes,,
weiter,Yes,,
wieder,Yes,,
zusammen,Yes,,
zu,Yes,,
zurück,Yes,,