Infinitiv,Verbformen,1s,2s,3s,1p,2p,3p
ab.hängen,,,,,,,
ab.holen,,,,,,,
ab.nehmen,,,,,,,
an.fangen,schwache,,fängst,fängt,,,
an.hören,schwache,,,,,,
an.kommen,schwache,,,,,,
an.rufen,schwache,,,,,,
an.sprechen,,,,,,,
an.ziehen (sich),,,,,,,
arbeiten,schwache,,,,,,
auf.geben,,,,,,,
auf.hören,,,,,,,
auf.schreiben,,,,,,,
auf.stehen,,,,,,,
auf.wachen,,,,,,,
aus.geben,,,,,,,
aus.gehen,,,,,,,
aus.machen,,,,,,,
aus.sehen,,,,,,,
aus.ziehen (sich),,,,,,,
beeinflußen,schwache,,,,,,
benutzen,,,,,,,
beschreiben,,,,,,,
besichtigen,schwache,,,,,,
besprechen,,,,,,,
bestellen,,,,,,,
besuchen,schwache,,,,,,
bewegen (sich),,,,,,,
bleiben,schwache,,,,,,
brauchen,schwache,,,,,,
buchstabieren,,,,,,,
checken,,,,,,,
danken,schwache,,,,,,
dauern,schwache,,,,,,
denken,,,,,,,
diskutieren,,,,,,,
dürfen,,daft,darfst,darf,,,
duschen (sich),,,,,,,
ein.kaufen,schwache,,,,,,
ein.laden,,,,,,,
ein.schlafen,,,,,,,
entdecken,schwache,,,,,,
entspannen (sich),,,,,,,
entwerfen,schwache,,,,,,
entwickeln,schwache,,,,,,
erfahren,,,,,,,
erfinden,schwache,,,,,,
erholen (sich),,,,,,,
erzählen,,,,,,,
essen,,,,,,,
fahren,starke,,fährst,fährt,,,
fallen,,,,,,,
fern.sehen,,,,,,,
finden,,,,,,,
fliegen,schwache,,,,,,
forschen,schwache,,,,,,
fotografieren,schwache,,,,,,
fragen,,,,,,,
geben,starke,,gibst,gibt,,,
gehen,schwache,,,,,,
gewinnen,schwache,,,,,,
glauben,,,,,,,
haben,gemischte,,hast,hat,,,
heiraten,,,,,,,
heißen,gemischte,,heißt,heißt,,,
helfen,,,,,,,
herunterladen,schwache,,ládst,ládt,,,
hoch.laden,schwache,,,,,,
interessieren,,,,,,,
joggen,,,,,,,
kaufen,schwache,,,,,,
kennen,schwache,,,,,,
kennen.lernen,,,,,,,
kommen,schwache,,,,,,
können,starke,kann,kannst,kann,,,
laufen,starke,,läufst,läuft,,,
leben,schwache,,,,,,
lernen,,,,,,,
lesen,starke,,liest,liest,,,
lieben,,,,,,,
los.fahren,,,,,,,
machen,schwache,,,,,,
messen,starke,,misst,misst,,,
mit.bringen,,,,,,,
mit.kommen,schwache,,,,,,
mit.nehmen,,,,,,,
mögen,,mag,magst,mag,,,
müssen,,muss,musst,man,,,
nehmen,,,,,,,
öffnen,,,,,,,
passen,,,,,,,
passieren,schwache,,,,,,
rasieren (sich),,,,,,,
reden,,,,,,,
regnen,,,,,,,
reisen,schwache,,,,,,
reiten,,,,,,,
sagen,,,,,,,
scheinen,,,,,,,
schminken (sich),,,,,,,
schneien,,,,,,,
schreiben,schwache,,,,,,
schwimmen,schwache,,,,,,
segeln,,,,,,,
sehen,starke,,siehst,sieht,,,
sein,gemischte,bin,bist,ist,sind,seid,sind
sollen,,,,,,,
spielen,,,,,,,
sprechen,schwache,,sprichst,spricht,,,
stehen,,,,,,,
stellen,,,,,,,
sterben,starke,,stirbst,stirbst,,,
studieren,schwache,,,,,,
suchen,,,,,,,
tanzen,,,,,,,
tragen,,,,,,,
trainieren,,,,,,,
treffen,,,,,,,
treiben,,,,,,,
trinken,,,,,,,
tun,,,,,,,
verbessern,schwache,,,,,,
verdienen,,,,,,,
vergleichen,,,,,,,
verkaufen,,,,,,,
verlieben (sich),,,,,,,
vermessen,schwache,,vermisst,vermisst,,,
verstehen,,,,,,,
versuchen,,,,,,,
wandern,,,,,,,
warten,,,,,,,
werden,,,,,,,
wissen,schwache,weiß,Weißt,weiß,,,
wohnen,schwache,,,,,,
wollen,,will,willst,will,,,
zeigen,,,,,,,
zu.nehmen,,,,,,,
zurück.bringen,schwache,,,,,,
zusammen.leben,,,,,,,