Infinitiv,Verbstamm,Type,1s,2s,3s,1p,2p,3p
ab.hängen,hing,,,st,,en,t,en
ab.holen,,,,,,,,
ab.nehmen,,,,,,,,
an.fangen,,,,,,,,
an.hören,,,,,,,,
an.kommen,,,,,,,,
an.rufen,,,,,,,,
an.sprechen,,,,,,,,
an.ziehen,,,,,,,,
arbeiten,,,,,,,,
auf.geben,,,,,,,,
auf.hören,,,,,,,,
auf.schreiben,,,,,,,,
auf.stehen,,,,,,,,
auf.wachen,,,,,,,,
aus.geben,,,,,,,,
aus.gehen,,,,,,,,
aus.machen,,,,,,,,
aus.sehen,,,,,,,,
aus.ziehen,,,,,,,,
beeinflussen,,,,,,,,
benutzen,,,,,,,,
beschreiben,beschreib,,,st,,en,t,en
besichtigen,,,,,,,,
besprechen,besprach,,,st,,en,t,en
bestellen,,,,,,,,
besuchen,,,,,,,,
bewegen,,,,,,,,
bleiben,,,,,,,,
brauchen,,,,,,,,
buchstabieren,,,,,,,,
checken,,,,,,,,
danken,,,,,,,,
dauern,,,,,,,,
denken,dach,schwache,,,,,,
diskutieren,,,,,,,,
duschen,,,,,,,,
ein.kaufen,,,,,,,,
ein.laden,,,,,,,,
ein.schlafen,,,,,,,,
entdecken,,,,,,,,
entspannen,,,,,,,,
entwerfen,,,,,,,,
entwickeln,,,,,,,,
erfahren,,,,,,,,
erfinden,,,,,,,,
erholen,,,,,,,,
erzählen,,,,,,,,
essen,aß,,,est,,en,t,en
fahren,fuhr,,,st,,en,t,en
fallen,fiel,,,st,,en,t,en
fern.sehen,sah,,,st,,en,t,en
finden,fand,,,st,,en,et,en
fliegen,flog,,,st,,en,et,en
forschen,,,,,,,,
fotografieren,,,,,,,,
fragen,,,,,,,,
geben,gab,,,st,,en,t,en
gehen,ging,,,st,,en,t,en
gewinnen,gewann,,,st,,en,t,en
glauben,,,,,,,,
haben,hat,schwache,,,,,,
heiraten,,,,,,,,
heißen,heiß,,,t,,en,t,en
helfen,half,,,st,,en,t,en
herunter.laden,lud,,,st,,en,et,en
hoch.laden,,,,,,,,
interessieren,,,,,,,,
joggen,,,,,,,,
kaufen,,,,,,,,
kennen,,,,,,,,
kennen.lernen,,,,,,,,
kommen,kam,,,st,,en,t,en
können,konn,schwache,,,,,,
laufen,lief,,,st,,en,t,en
leben,,,,,,,,
lernen,,,,,,,,
lesen,las,,,st,,en,t,en
lieben,,,,,,,,
los.fahren,fuhr,,,st,,en,t,en
machen,,,,,,,,
messen,maß,,,est,,en,t,en
mit.bringen,brach,schwache,,,,,,
mit.kommen,kam,,,st,,en,t,en
mit.nehmen,nahm,,,st,,en,t,en
müssen,muss,schwache,,,,,,
nehmen,nahm,,,st,,en,t,en
öffnen,,,,,,,,
passen,,,,,,,,
passieren,,,,,,,,
rasieren,,,,,,,,
reden,rede,schwache,,,,,,
regnen,,,,,,,,
reisen,,,,,,,,
reiten,ritt,,,est,,en,et,en
sagen,,,,,,,,
scheinen,schein,,,est,,en,et,en
schminken,,,,,,,,
schneien,,,,,,,,
schreiben,schreib,,,st,,en,t,en
schwimmen,schwamm,,,st,,en,t,en
segeln,segel,schwache,,,,,,
sehen,sah,,,st,,en,t,en
sein,war,,,st,,en,t,en
sollen,,,,,,,,
spielen,,,,,,,,
sprechen,sprach,,,st,,en,t,en
stehen,stand,,,st,,en,et,en
stellen,,,,,,,,
sterben,starb,,,st,,en,t,en
studieren,,,,,,,,
suchen,,,,,,,,
tanzen,,,,,,,,
tragen,trug,,,st,,en,t,en
trainieren,,,,,,,,
treffen,traf,,,st,,en,t,en
treiben,trieb,,,st,,en,t,en
trinken,trank,,,st,,en,t,en
tun,tat,,,st,,en,et,en
verbessern,,,,,,,,
verdienen,,,,,,,,
vergleichen,verglich,,,st,,en,t,en
verkaufen,,,,,,,,
verlieben,,,,,,,,
vermessen,vermaß,,,est,,en,t,en
verstehen,verstand,,,st,,en,et,en
versuchen,,,,,,,,
wandern,wander,schwache,,,,,,
warten,,,,,,,,
werden,wurd,,e,est,e,en,et,en
wissen,wuss,schwache,,,,,,
wohnen,,,,,,,,
wollen,,,,,,,,
zeigen,,,,,,,,
zu.nehmen,nahm,,,st,,en,t,en
zurück.bringen,brach,schwache,,,,,,
zusammen.leben,,,,,,,,